row,col,x_grid,y_grid,density
0,0,0.5,0.5,0.0
0,1,1.5,0.5,0.0
0,2,2.5,0.5,0.0
0,3,3.5,0.5,0.0
0,4,4.5,0.5,0.0
0,5,5.5,0.5,0.0
0,6,6.5,0.5,1.6483180758097946e-08
0,7,7.5,0.5,3.1383098047806545e-07
0,8,8.5,0.5,2.9914385423823855e-06
0,9,9.5,0.5,1.8207709660575246e-05
0,10,10.5,0.5,0.00010565901962653516
0,11,11.5,0.5,0.00056607314102495
0,12,12.5,0.5,0.002295696876692107
0,13,13.5,0.5,0.005845231755652857
0,14,14.5,0.5,0.008060588924358486
0,15,15.5,0.5,0.005770913665471612
0,16,16.5,0.5,0.0024076525036933016
0,17,17.5,0.5,0.0007946567582835223
0,18,18.5,0.5,0.00028719491961942976
0,19,19.5,0.5,0.0001433465573571519
0,20,20.5,0.5,7.13479710089783e-05
0,21,21.5,0.5,2.1253476920107235e-05
0,22,22.5,0.5,3.2880476598900464e-06
0,23,23.5,0.5,2.6405616516666936e-07
0,24,24.5,0.5,8.241590379048973e-09
0,25,25.5,0.5,0.0
0,26,26.5,0.5,0.0
0,27,27.5,0.5,0.0
0,28,28.5,0.5,0.0
0,29,29.5,0.5,0.0
0,30,30.5,0.5,0.0
0,31,31.5,0.5,0.0
0,32,32.5,0.5,0.0
0,33,33.5,0.5,0.0
0,34,34.5,0.5,0.0
0,35,35.5,0.5,0.0
0,36,36.5,0.5,0.0
0,37,37.5,0.5,0.0
0,38,38.5,0.5,0.0
0,39,39.5,0.5,0.0
1,0,0.5,1.5,0.0
1,1,1.5,1.5,0.0
1,2,2.5,1.5,0.0
1,3,3.5,1.5,0.0
1,4,4.5,1.5,0.0
1,5,5.5,1.5,9.889908454858768e-08
1,6,6.5,1.5,2.147367321072164e-06
1,7,7.5,1.5,2.0967461663694813e-05
1,8,8.5,1.5,0.00010930220588676157
1,9,9.5,1.5,0.00035822284288685905
1,10,10.5,1.5,0.0010352695255329586
1,11,11.5,1.5,0.0032782483051523466
1,12,12.5,1.5,0.009921504587599302
1,13,13.5,1.5,0.02287514691249538
1,14,14.5,1.5,0.032156673046816686
1,15,15.5,1.5,0.025785170840060958
1,16,16.5,1.5,0.013509684806191205
1,17,17.5,1.5,0.006004113520158526
1,18,18.5,1.5,0.0031506949381599255
1,19,19.5,1.5,0.0022535128558393565
1,20,20.5,1.5,0.0012802275607442556
1,21,21.5,1.5,0.00040896663361249865
1,22,22.5,1.5,8.012716391226028e-05
1,23,23.5,1.5,1.7599501360623826e-05
1,24,24.5,1.5,5.690480425665203e-06
1,25,25.5,1.5,1.3388037809521598e-06
1,26,26.5,1.5,1.5691549023903273e-07
1,27,27.5,1.5,8.241590379048973e-09
1,28,28.5,1.5,0.0
1,29,29.5,1.5,0.0
1,30,30.5,1.5,0.0
1,31,31.5,1.5,0.0
1,32,32.5,1.5,0.0
1,33,33.5,1.5,0.0
1,34,34.5,1.5,0.0
1,35,35.5,1.5,0.0
1,36,36.5,1.5,0.0
1,37,37.5,1.5,0.0
1,38,38.5,1.5,0.0
1,39,39.5,1.5,0.0
2,0,0.5,2.5,0.0
2,1,1.5,2.5,0.0
2,2,2.5,2.5,0.0
2,3,3.5,2.5,0.0
2,4,4.5,2.5,0.0
2,5,5.5,2.5,1.82529475021505e-06
2,6,6.5,2.5,3.647227108664605e-05
2,7,7.5,2.5,0.00032683882043074843
2,8,8.5,2.5,0.0014692132024749674
2,9,9.5,2.5,0.0037718607904338214
2,10,10.5,2.5,0.007159005223129503
2,11,11.5,2.5,0.013787340466104967
2,12,12.5,2.5,0.028647517988100658
2,13,13.5,2.5,0.055776023760831656
2,14,14.5,2.5,0.0788395312403484
2,15,15.5,2.5,0.07156393157758736
2,16,16.5,2.5,0.046290126706772405
2,17,17.5,2.5,0.02643918273688233
2,18,18.5,2.5,0.019229552827633885
2,19,19.5,2.5,0.017005703352983834
2,20,20.5,2.5,0.010303814697951346
2,21,21.5,2.5,0.0035144358503338734
2,22,22.5,2.5,0.0008661857788520291
2,23,23.5,2.5,0.000292781646872133
2,24,24.5,2.5,0.0001146301912504934
2,25,25.5,2.5,2.7829162572894197e-05
2,26,26.5,2.5,3.2849351396039055e-06
2,27,27.5,2.5,1.733986709971307e-07
2,28,28.5,2.5,0.0
2,29,29.5,2.5,0.0
2,30,30.5,2.5,0.0
2,31,31.5,2.5,0.0
2,32,32.5,2.5,0.0
2,33,33.5,2.5,0.0
2,34,34.5,2.5,0.0
2,35,35.5,2.5,0.0
2,36,36.5,2.5,0.0
2,37,37.5,2.5,0.0
2,38,38.5,2.5,0.0
2,39,39.5,2.5,0.0
3,0,0.5,3.5,0.0
3,1,1.5,3.5,0.0
3,2,2.5,3.5,0.0
3,3,3.5,3.5,0.0
3,4,4.5,3.5,0.0
3,5,5.5,3.5,1.482712990330886e-05
3,6,6.5,3.5,0.00028512002972721985
3,7,7.5,3.5,0.0024429134996208496
3,8,8.5,3.5,0.010074425280871411
3,9,9.5,3.5,0.022153531106442484
3,10,10.5,3.5,0.03175731018204439
3,11,11.5,3.5,0.04069926348479206
3,12,12.5,3.5,0.058346730846513276
3,13,13.5,3.5,0.09304130678793798
3,14,14.5,3.5,0.13112235795770472
3,15,15.5,3.5,0.1368494929889644
3,16,16.5,3.5,0.10895154607282649
3,17,17.5,3.5,0.07468548524249778
3,18,18.5,3.5,0.06311517698517331
3,19,19.5,3.5,0.06005069978557345
3,20,20.5,3.5,0.037963276960366214
3,21,21.5,3.5,0.014532233148626235
3,22,22.5,3.5,0.004987267067127576
3,23,23.5,3.5,0.002383966145799684
3,24,24.5,3.5,0.0010365050761094944
3,25,25.5,3.5,0.0002569993989467588
3,26,26.5,3.5,3.054027568169686e-05
3,27,27.5,3.5,1.6196683999140294e-06
3,28,28.5,3.5,0.0
3,29,29.5,3.5,0.0
3,30,30.5,3.5,0.0
3,31,31.5,3.5,0.0
3,32,32.5,3.5,0.0
3,33,33.5,3.5,0.0
3,34,34.5,3.5,0.0
3,35,35.5,3.5,0.0
3,36,36.5,3.5,0.0
3,37,37.5,3.5,0.0
3,38,38.5,3.5,0.0
3,39,39.5,3.5,0.0
4,0,0.5,4.5,0.0
4,1,1.5,4.5,0.0
4,2,2.5,4.5,0.0
4,3,3.5,4.5,0.0
4,4,4.5,4.5,0.0
4,5,5.5,4.5,5.45201796415873e-05
4,6,6.5,4.5,0.0010293809877776749
4,7,7.5,4.5,0.00862248390470593
4,8,8.5,4.5,0.0339546714535156
4,9,9.5,4.5,0.0683143964009008
4,10,10.5,4.5,0.08279588189292832
4,11,11.5,4.5,0.08054117753749139
4,12,12.5,4.5,0.08919078595959601
4,13,13.5,4.5,0.1331892430274911
4,14,14.5,4.5,0.2080915683527416
4,15,15.5,4.5,0.2599333187667683
4,16,16.5,4.5,0.23683274331593165
4,17,17.5,4.5,0.15883014305141915
4,18,18.5,4.5,0.11452788947223203
4,19,19.5,4.5,0.10136629215025025
4,20,20.5,4.5,0.06679745145405055
4,21,21.5,4.5,0.03122629048374327
4,22,22.5,4.5,0.01588813659446803
4,23,23.5,4.5,0.009874891955982873
4,24,24.5,4.5,0.004652718958340222
4,25,25.5,4.5,0.001182351150408683
4,26,26.5,4.5,0.00014188179172531945
4,27,27.5,4.5,7.57526894599531e-06
4,28,28.5,4.5,0.0
4,29,29.5,4.5,0.0
4,30,30.5,4.5,0.0
4,31,31.5,4.5,0.0
4,32,32.5,4.5,0.0
4,33,33.5,4.5,0.0
