sample_index,target_x,target_y,gaze_x,gaze_y,error_px
1,192.0,108.0,129.53333333333333,82.31111111111112,67.542604752779
2,960.0,108.0,915.2333333333333,95.46666666666667,46.488051033452535
3,1728.0,108.0,1701.2333333333333,68.46666666666667,47.74242231903287
4,192.0,540.0,250.11111111111111,597.6666666666666,81.86785497991468
5,960.0,540.0,914.7111111111111,468.64444444444445,84.51448849417535
6,1728.0,540.0,1774.8444444444444,518.6666666666666,51.473421164905616
7,192.0,972.0,242.05555555555554,897.4111111111112,89.82795215106661
8,960.0,972.0,908.4888888888889,959.9111111111112,52.91063978510494
9,1728.0,972.0,1615.9333333333334,984.8555555555556,112.80160941413797
