sample_index,target_x,target_y,gaze_x,gaze_y,error_px
1,192.0,108.0,224.93333333333334,200.86666666666667,98.53335588633031
2,960.0,108.0,893.9333333333333,71.73333333333333,75.36627598306528
3,1728.0,108.0,1713.0333333333333,205.86666666666667,99.00447240178374
4,192.0,540.0,90.2,654.7666666666667,153.40999894980044
5,960.0,540.0,914.7333333333333,436.06666666666666,113.36317254244823
6,1728.0,540.0,1785.8333333333333,629.2,106.30773464073272
7,192.0,972.0,105.5,972.7,86.50283232357192
8,960.0,972.0,1026.2333333333333,991.4666666666667,69.03481408358799
9,1728.0,972.0,1724.7333333333333,963.5666666666667,9.04390525283305
