sample_index,target_x,target_y,gaze_x,gaze_y,error_px
0,192.0,108.0,317.8747863974728,142.5070720656326,130.5189636533794
1,192.0,108.0,373.39460974049166,120.31795949430706,181.81236638086162
2,192.0,108.0,357.19549950669057,183.89849049689965,181.79695794202104
3,192.0,108.0,350.39966661157473,177.26381968033917,172.88126300836814
4,192.0,108.0,381.5345504877306,165.89267320268854,198.1789782977483
5,192.0,108.0,380.57227964256356,177.43489895451904,200.94952063246495
6,192.0,108.0,377.16658132494604,160.86297012700115,192.56468121183613
7,192.0,108.0,281.1688989852316,197.968664315303,126.67064815859318
8,192.0,108.0,386.33005089828566,193.61692009668795,212.3544812076565
9,192.0,108.0,354.9031332735909,198.42119757146443,186.31538798663715
10,192.0,108.0,351.2873439114049,228.9742611044136,200.01807363363196
11,192.0,108.0,335.346104437642,162.79656018680015,153.4625969601485
12,192.0,108.0,308.82133784764096,186.69008725890916,140.8522446016655
13,192.0,108.0,320.2341653425599,168.65358324243587,141.85506096452846
14,192.0,108.0,289.8314364802949,195.9203189082822,131.53316099270182
15,192.0,108.0,288.81529512543625,200.9590178200252,134.21840546023887
16,192.0,108.0,298.4425148349535,206.75771301921387,145.2001888606716
17,192.0,108.0,403.32871119825325,134.72316096454267,213.01162294262627
18,192.0,108.0,402.0719075545922,244.41065459465642,250.47569349253789
19,192.0,108.0,315.2555090407642,201.2626373130271,154.56338514499203
20,192.0,108.0,361.9981996453412,216.0310824401927,201.42021411928096
21,192.0,108.0,325.307399714953,196.1154713727407,159.79736892077585
22,192.0,108.0,329.11547962628424,198.34481720027264,164.20365631768573
23,192.0,108.0,315.47115468387364,140.70515590086873,127.7292185111503
24,192.0,108.0,325.986033493461,164.29517472866704,145.33204694437492
25,192.0,108.0,340.61480274535484,121.01231192627218,149.18337660981982
26,192.0,108.0,270.13131930335834,139.4235659707794,84.213677953188
27,192.0,108.0,324.19093668313974,218.6083060629221,172.36194797946243
28,192.0,108.0,361.52940089987715,244.57095526588378,217.69667795285093
29,192.0,108.0,376.357315704813,181.12992785635296,198.33206044953872
30,192.0,108.0,404.6536116080674,188.38804393690364,227.34070497373835
31,192.0,108.0,438.04565267309056,200.54890572051193,262.87594631192735
32,192.0,108.0,394.08915252952977,211.4480442565348,227.027582973095
33,192.0,108.0,397.4703224181021,212.21090262714634,230.38655694498195
34,192.0,108.0,388.1748564966146,179.50357251755366,208.799749052149
35,192.0,108.0,410.3733056384781,179.08995119389812,229.65339487198307
36,192.0,108.0,386.9229808875898,232.22790424945325,231.1439825570093
37,192.0,108.0,373.3299032282458,249.31223303639177,229.89058486701123
38,192.0,108.0,364.84252365850114,244.0599245216942,219.97009125217147
39,192.0,108.0,429.57609488406047,205.98500921397203,256.9892271886553
40,192.0,108.0,429.96528207001757,221.91917598149766,263.8276978009823
41,192.0,108.0,411.08386584194795,183.1887281478095,231.6270388204664
42,192.0,108.0,433.43867741810385,230.70426789994676,270.83015399741794
43,192.0,108.0,426.32737166285824,178.0655823292206,244.57821435597262
44,192.0,108.0,407.0662145413152,201.16426596007727,234.37802177041056
45,192.0,108.0,393.8519735308702,188.65071945118078,217.36779376508426
46,192.0,108.0,383.3104823351112,208.06919091490516,215.90169897816142
47,192.0,108.0,449.26131118907216,168.6858357315566,264.32206281950454
48,192.0,108.0,408.92290734701385,181.03725886706223,228.88859498606612
49,192.0,108.0,372.96486753123503,218.92856179517904,212.25793059988194
50,192.0,108.0,416.1297646637295,190.79994792909014,238.93510161815655
51,192.0,108.0,494.70028554001044,226.93237164045544,325.22664695566885
52,192.0,108.0,442.25342160180384,227.4468124756466,277.29824383504933
53,192.0,108.0,481.02517623254573,178.9622627227034,297.6091316256611
54,192.0,108.0,482.63905656642834,178.98595983382512,299.18233185693464
55,192.0,108.0,500.9900009394615,167.93152595423035,314.7484844820877
56,192.0,108.0,450.60915483546876,218.6258062462654,281.2770235414754
57,192.0,108.0,403.4115940757373,226.98741726649016,242.59609967473543
58,192.0,108.0,534.7434465274176,139.67373635431997,344.2038577821808
59,192.0,108.0,546.0387498897101,129.22251458648853,354.67426118742026
60,192.0,108.0,513.2890718277686,163.0569677798532,325.9722954133692
61,192.0,108.0,493.6461721753794,195.95627022094592,314.2080817853651
62,192.0,108.0,487.26910382611123,181.10547506601318,304.1845725195516
63,192.0,108.0,392.5884837790597,285.9257129131017,268.1292582699948
64,192.0,108.0,465.8187304922063,271.73474258605376,319.0388112723667
65,192.0,108.0,527.2605894008668,201.61873274600006,348.0863828511302
66,192.0,108.0,444.65821232037024,182.48081399550406,263.4076003200328
67,192.0,108.0,364.05991722645405,284.6932825045501,246.6275150874431
68,192.0,108.0,356.18294736607106,284.71525334891163,241.21426361635434
69,192.0,108.0,337.45428049974595,264.59986707891045,213.7298904805577
70,192.0,108.0,346.85680317052135,288.5599664160242,237.87082830887312
71,192.0,108.0,464.901579433707,253.02371903488893,309.0423128636632
72,192.0,108.0,444.3283107240124,246.83212316116118,287.9998868303069
73,192.0,108.0,414.10880114721414,270.18058615998325,275.01793045954014
74,192.0,108.0,430.8872020534998,192.0289222949883,253.2349799830324
75,192.0,108.0,407.4984790175457,201.2150391334067,234.7948849091865
76,192.0,108.0,425.31848377237645,182.3180250060148,244.86870708736006
77,192.0,108.0,357.1557291821182,223.1998176513613,201.3638817379722
78,192.0,108.0,352.3941905471825,222.48001487452348,197.058291292087
79,192.0,108.0,357.4854255175748,230.75968981911055,206.04700314058692
80,192.0,108.0,288.33880425231916,244.2491573379882,166.86820571959936
81,192.0,108.0,320.7711507132699,212.89636363243417,166.08809818685845
82,192.0,108.0,339.22562811660936,201.1167163445633,174.20134453305468
83,192.0,108.0,356.3265620717492,260.34284638690207,224.07936506421936
84,192.0,108.0,411.9154973261152,247.82857771448386,260.60479103394863
85,192.0,108.0,419.15340273215173,200.08758431866323,245.10975410709796
86,192.0,108.0,394.58901551323044,234.77523637057405,238.98591959242043
87,192.0,108.0,291.9777237938897,285.9253670062426,204.09062075292294
88,192.0,108.0,286.0931631170849,244.60541222105311,165.87513976923182
89,192.0,108.0,404.55164514249583,198.41836516187962,230.98416095336165
90,960.0,108.0,954.871277359187,149.22254143604337,41.54036252095906
91,960.0,108.0,956.3335154981766,145.07821124827558,37.25905068535511
