sample_index,target_x,target_y,gaze_x,gaze_y,error_px,error_visual_angle_deg
0,192.0,108.0,200.89328115084123,210.83168427291508,103.21553051761347,
1,192.0,108.0,202.86877011028878,205.9521524020096,98.55330701654218,
2,192.0,108.0,209.1856641307357,198.98472259940198,92.5935570010386,
3,192.0,108.0,217.23442812001028,185.95549172428878,81.93799517024823,
4,192.0,108.0,226.03069026152983,168.0299530893258,69.00495016723683,
5,192.0,108.0,231.07918335471956,152.32613927988896,59.09305538836104,
6,192.0,108.0,231.9392853277841,142.45307347043178,52.746192128466674,
7,192.0,108.0,236.81808447294688,130.5605478300765,50.176080100157,
8,192.0,108.0,245.37067275008764,115.54459132210431,53.90129467846314,
9,192.0,108.0,254.51735313211546,104.86938124170794,62.59568848135945,
10,192.0,108.0,260.69341998564755,100.12664207477759,69.14315377781972,
11,192.0,108.0,261.31574850315315,96.41959788114525,70.27644487156954,
12,192.0,108.0,257.75259651163066,92.02605636288546,67.66513742942533,
13,192.0,108.0,254.58822723650658,90.76266443227944,64.9185021860701,
14,192.0,108.0,250.82190776041946,91.91620436854335,60.98118820168855,
15,192.0,108.0,246.00038730535528,93.17832734231575,55.997533959094305,
16,192.0,108.0,242.8078923487579,93.73373753104084,52.772797630561556,
17,192.0,108.0,239.7999102473717,96.5037879595045,49.162936353891894,
18,192.0,108.0,237.72248094203664,101.60524238183474,46.167501432176145,
19,192.0,108.0,236.53983022747994,108.0821295901506,44.53990594918577,
20,192.0,108.0,235.3249131181644,111.57439168811791,43.47211028506185,
21,192.0,108.0,233.85864141496967,112.97592218361973,42.1533588541228,
22,192.0,108.0,232.00789930433243,115.92558514796805,40.785376137572825,
23,192.0,108.0,231.2815199575514,120.96090191504237,41.36451122190203,
24,192.0,108.0,232.49016850822028,127.11718449219525,44.77633849180506,
25,192.0,108.0,233.59182989264883,134.0859567572541,49.09539136986656,
26,192.0,108.0,234.6302673106864,140.19175216581368,53.419552585975,
27,192.0,108.0,234.91011451051642,145.32766316190825,56.873828466479324,
28,192.0,108.0,235.36881335757636,149.46222887111864,59.99975329120377,
29,192.0,108.0,237.4186833474036,149.97489149928356,61.844549585135994,
30,192.0,108.0,238.02512009801188,145.75721172021127,59.53082157102551,
31,192.0,108.0,238.09733575187187,143.28920412742085,58.05421854928013,
32,192.0,108.0,237.07695349738418,143.33666785351946,57.276625525560526,
33,192.0,108.0,235.3140022612626,143.77135970045788,56.175554885627996,
34,192.0,108.0,231.1068901801806,145.50971696818175,54.187892804553755,
35,192.0,108.0,227.32520155853993,150.79809335307777,55.4936632401415,
36,192.0,108.0,223.88913745650532,154.99865511486502,56.796044495421675,
37,192.0,108.0,217.60160052846976,156.93286655409673,55.22560437713997,
38,192.0,108.0,210.7895980433642,158.3830489043464,53.77267532426629,
39,192.0,108.0,205.01631180426344,159.69109969426205,53.30472925161468,
40,192.0,108.0,199.5830578965524,160.00400994062116,52.55397051571546,
41,192.0,108.0,197.89273048910854,159.45543621910463,51.79175792648492,
42,192.0,108.0,197.24798195387922,157.53096926530648,49.8082144926816,
43,192.0,108.0,197.42441096394776,155.3680021821849,47.67758241602935,
44,192.0,108.0,195.2717867088703,154.49005858354937,46.60504409793207,
45,192.0,108.0,193.33836059441938,154.77397547145063,46.79311905060999,
46,192.0,108.0,192.46207312516924,156.52620439144567,48.5284043031848,
47,192.0,108.0,192.850619476079,157.4690827905632,49.47639543896342,
48,192.0,108.0,192.76024716148768,155.09468430069583,47.10082021715499,
49,192.0,108.0,194.19745800288504,151.37292803730267,43.4285586705739,
50,192.0,108.0,193.93132239358948,148.6514392208356,40.697291272433255,
51,192.0,108.0,191.93638050160212,146.1147305558542,38.11478365130704,
52,192.0,108.0,191.37653144415026,145.81792347008778,37.82306239094805,
53,192.0,108.0,190.54217761791097,146.2160801443182,38.24387568872527,
54,192.0,108.0,188.1261777175279,145.4006689704678,37.60075183443397,
55,192.0,108.0,187.54870851714313,144.76191765185192,37.03042783045986,
56,192.0,108.0,187.69639525910154,144.24110106012137,36.49573152871187,
57,192.0,108.0,186.93987320819144,143.5290677792895,35.887595912996545,
58,192.0,108.0,185.32670376932407,144.99981560105945,37.5967982293008,
59,192.0,108.0,187.29282465814808,147.30064558033578,39.58153916575384,
60,192.0,108.0,191.71330621748405,149.2722882022475,41.27328393494163,
61,192.0,108.0,194.02755302716625,151.96894871360422,44.01567246172128,
62,192.0,108.0,193.3824259195812,154.73738240692933,46.757823042509976,
