sample_index,target_x,target_y,gaze_x,gaze_y,error_px
1,192.0,108.0,121.43333333333334,115.4,70.95360769153633
2,960.0,108.0,883.6,108.0,76.39999999999998
3,1728.0,108.0,1649.0,4.566666666666666,130.15165939950379
4,192.0,540.0,153.16666666666666,705.5333333333333,170.0273866829171
5,960.0,540.0,961.4666666666667,432.9,107.11004206474347
6,1728.0,540.0,1701.5,614.3333333333334,78.91574269082469
7,192.0,972.0,162.16666666666666,974.1666666666666,29.911907699480196
8,960.0,972.0,887.1,994.4666666666667,76.28342618885907
9,1728.0,972.0,1555.7666666666667,1000.1333333333333,174.51591777128974
