sample_index,target_x,target_y,gaze_x,gaze_y,error_px
1,192.0,108.0,181.53333333333333,114.31111111111112,12.222161616011357
2,960.0,108.0,924.6,93.64444444444445,38.20002585481639
3,1728.0,108.0,1719.3,88.36666666666666,21.474584461120052
4,192.0,540.0,309.43333333333334,540.0777777777778,117.43335908999833
5,960.0,540.0,986.3222222222222,475.03333333333336,70.0965559816873
6,1728.0,540.0,1808.6666666666667,556.1333333333333,82.26418148596366
7,192.0,972.0,283.8666666666667,934.1222222222223,99.36906205568793
8,960.0,972.0,1012.4111111111112,978.5777777777778,52.82226546064705
9,1728.0,972.0,1659.0777777777778,930.9555555555555,80.21794771622166
