sample_index,target_x,target_y,gaze_x,gaze_y,error_px
1,192.0,108.0,3.533333333333333,158.26666666666668,195.05492104077308
2,960.0,108.0,898.2333333333333,56.2,80.61241288481017
3,1728.0,108.0,1818.6,79.96666666666667,94.83790264328793
4,192.0,540.0,144.13333333333333,622.8,95.64025187010839
5,960.0,540.0,966.8666666666667,451.7,88.56659139377057
6,1728.0,540.0,1861.2,576.0,137.979128856505
7,192.0,972.0,199.46666666666667,962.1666666666666,12.346884447323395
8,960.0,972.0,988.3333333333334,975.5,28.548691349653488
9,1728.0,972.0,1857.4,937.3666666666667,133.95457356050895
