sample_index,target_x,target_y,gaze_x,gaze_y,error_px
1,192.0,108.0,270.1666666666667,153.83333333333334,90.61303560869278
2,960.0,108.0,962.5666666666667,77.66666666666667,30.441729400428105
3,1728.0,108.0,1705.9333333333334,118.96666666666667,24.641541257712614
4,192.0,540.0,240.03333333333333,683.9,151.70501346729154
5,960.0,540.0,976.9666666666667,498.53333333333336,44.80348448750634
6,1728.0,540.0,1760.0666666666666,522.6333333333333,36.467413155065145
7,192.0,972.0,205.63333333333333,903.5,69.84352352063702
8,960.0,972.0,914.9,952.7666666666667,49.02990017439475
9,1728.0,972.0,1661.3333333333333,992.5333333333333,69.75716609942114
