sample_index,target_x,target_y,gaze_x,gaze_y,error_px
0,192.0,108.0,333.13465661228,219.11787713365217,179.62787622124696
1,192.0,108.0,331.16310316996083,219.17372517126935,178.1178442839181
2,192.0,108.0,322.5444161146613,216.15598451237534,169.52746551682716
3,192.0,108.0,314.60958380485005,210.16829869575926,159.59784240140726
4,192.0,108.0,307.49778617570814,200.95123541611574,148.25542410607366
5,192.0,108.0,298.53081755558446,194.6182739761857,137.30091214436555
6,192.0,108.0,294.4963776708397,187.67191783514,129.8195745146806
7,192.0,108.0,292.11225020006304,187.40334800022129,127.77853620136783
8,192.0,108.0,289.99636634974036,186.32315176780153,125.45040422650935
9,192.0,108.0,285.2800513911549,183.73269717652843,120.15244237704144
10,192.0,108.0,283.8482078644833,181.18409641455293,117.43936842444236
11,192.0,108.0,280.3542162754253,178.7551171189743,113.19343678926089
12,192.0,108.0,271.9546201406938,180.26361898756886,107.77185119975978
13,192.0,108.0,258.9926897026804,181.89727550563217,99.74381083934445
14,192.0,108.0,250.54713360326477,179.32711533574874,92.27851448347951
15,192.0,108.0,245.42320037803813,175.67242362650327,86.21830001871373
16,192.0,108.0,239.01207131975363,173.59944315072678,80.7057729747943
17,192.0,108.0,232.28619130363452,172.1390550720912,75.74163713106408
18,192.0,108.0,227.9074008074049,171.94365705650344,73.33575328926094
19,192.0,108.0,224.9127518510156,166.5595289177026,67.17490350919589
20,192.0,108.0,223.47716760686643,160.63940736248017,61.33285651283407
21,192.0,108.0,221.0242771283401,152.4209343374921,53.06249212238783
22,192.0,108.0,221.73841502023663,146.44902903330174,48.6076245204342
23,192.0,108.0,223.42716213509308,141.80388575204893,46.15592282473621
24,192.0,108.0,225.95503215660952,138.49329400375572,45.63754143198197
25,192.0,108.0,230.7752488181351,137.8252263392038,48.91895386343645
26,192.0,108.0,239.8290519341364,141.18945664187328,58.216477402030286
27,192.0,108.0,251.87112327071918,145.21047707019545,70.4923471412975
28,192.0,108.0,264.8437890331477,150.22463092240827,84.19701335106444
29,192.0,108.0,274.94194899400617,155.83448872220066,95.74708984736122
30,192.0,108.0,283.9274525694997,162.78342695719775,107.01345899041033
31,192.0,108.0,292.8251026574112,171.6567470154757,119.2387636906295
32,192.0,108.0,301.251250941784,180.60931239054526,131.1790687502105
33,192.0,108.0,308.2553555435677,189.27538200685342,141.84849457403942
34,192.0,108.0,308.44527265641864,197.6098584939596,146.9334143867049
35,192.0,108.0,304.1401905461594,206.03290468538157,148.94922872167564
36,192.0,108.0,298.1925852715388,215.79437619867912,151.31587063727122
37,192.0,108.0,290.2137581707382,224.6148781486139,152.4630187935301
38,192.0,108.0,286.5033079965768,229.84745102462352,154.2001184937738
39,192.0,108.0,288.16583485093474,231.06747265071624,156.18409207474377
40,192.0,108.0,291.11797868235044,232.0359488591235,158.7743376854647
41,192.0,108.0,290.18023033081295,231.76440633236882,157.97780192993943
42,192.0,108.0,288.9509480174852,232.4857843886966,157.7852871352655
43,192.0,108.0,285.00147123064045,233.22028958603966,155.9788273294657
44,192.0,108.0,282.480356380565,236.0056674685248,156.75505030083272
45,192.0,108.0,280.2687141574753,236.49533843459562,155.89232790113613
46,192.0,108.0,279.58303529934506,238.30603082670714,157.00461694503468
47,192.0,108.0,277.12731898181084,239.26296188467353,156.45007382474523
48,192.0,108.0,275.3822784657223,238.32160523126137,154.71368766915225
49,192.0,108.0,276.0301900934566,237.0198771051694,153.97143090643624
50,192.0,108.0,282.7816482180592,239.51210640609938,159.8021958064302
51,192.0,108.0,295.1248141170242,246.49496493832967,172.67189290657572
52,192.0,108.0,310.6506623600265,255.3053594867101,189.14768994619496
53,192.0,108.0,321.5091421709451,266.1621428664247,204.42084370717532
54,192.0,108.0,329.04294919153426,276.8200593801098,217.44190574086045
55,192.0,108.0,334.12779251922177,288.3610086347999,229.63101454757654
56,192.0,108.0,335.89605302953964,298.0950349373764,238.416015370869
57,192.0,108.0,342.4665784032271,306.84186915568114,249.3557301240529
58,192.0,108.0,348.973807909816,312.7695017052611,258.0141957302519
59,192.0,108.0,356.07336099943905,320.523561481129,268.48897924174736
60,192.0,108.0,361.62232270642,328.09719023426885,277.8749817981835
61,192.0,108.0,365.0967338876324,332.1284940625374,283.18909077382676
62,192.0,108.0,365.61910741131663,335.42173572202125,286.11927641653085
63,192.0,108.0,365.49566062729673,335.15651162733667,285.8335617648887
64,192.0,108.0,363.2552424785124,331.7338227598465,281.75376044182354
65,192.0,108.0,357.28818162465814,324.8462677792715,272.65818681012587
