sample_index,target_x,target_y,gaze_x,gaze_y,error_px
0,192.0,108.0,296.2065777511468,248.44428538246237,174.88169756494344
1,192.0,108.0,297.47554101055556,248.4045146396701,175.60899032415944
2,192.0,108.0,300.59388742394174,249.77978007828136,178.58930098102059
3,192.0,108.0,312.548567881884,251.10297596240977,187.1107130756313
4,192.0,108.0,327.3986748907973,245.3192446525742,192.8454721120964
5,192.0,108.0,331.0751392467423,237.15016318467082,189.7937275231399
6,192.0,108.0,328.45606023593217,229.03549346894033,182.40023863576013
7,192.0,108.0,323.55714416475945,215.41807422346287,169.84088097588483
8,192.0,108.0,321.68449291349214,207.6692286162351,163.56045620865984
9,192.0,108.0,323.4958454534659,202.23031157889005,161.77301688407894
10,192.0,108.0,326.4580830874936,200.03195943628722,162.93820198236432
11,192.0,108.0,327.55987898992674,199.86650078712245,163.75571672046735
12,192.0,108.0,328.427704002463,202.7493685836821,166.10226147283515
13,192.0,108.0,326.6441516850994,203.69035277861897,165.1838103383519
14,192.0,108.0,323.4839977879232,202.18081502879176,161.734559058298
15,192.0,108.0,323.68596904048434,205.51759020347902,163.86236554262564
16,192.0,108.0,324.38258969436293,209.1172367638842,166.58284913204437
17,192.0,108.0,323.5051538869896,212.81976542237038,168.1689291220039
18,192.0,108.0,321.5659489986657,216.27703221152953,168.8527489988287
19,192.0,108.0,319.4806184347547,220.92741314817505,170.30533966040568
20,192.0,108.0,315.76028346428916,225.89884554506682,170.92906582562466
21,192.0,108.0,309.8435983023136,227.73943543805214,168.00192278620057
22,192.0,108.0,302.4564814759699,227.33772202114102,162.61035083058644
23,192.0,108.0,294.6280639843225,226.0661882741482,156.4357514469017
24,192.0,108.0,287.76877852865704,224.5977991031701,150.88639997221148
25,192.0,108.0,275.3094443184863,224.4177997020013,143.1557459556209
26,192.0,108.0,260.45799543244897,224.67788806487422,135.27833049645653
27,192.0,108.0,248.42827236137947,227.9714632155791,132.57941736098056
28,192.0,108.0,234.93463174256613,230.09108669436796,129.42030773059318
29,192.0,108.0,218.37170759234456,227.89849041818132,122.76446947669689
30,192.0,108.0,200.69288460948837,221.34613888205504,113.67899296837561
31,192.0,108.0,181.59176252794984,218.49956385984763,110.98867068530524
32,192.0,108.0,161.52621749757142,215.61515333995482,111.84664790858648
33,192.0,108.0,153.95845877707896,212.05404835382447,110.78990855414243
34,192.0,108.0,155.89405564069895,206.3677082811014,104.78475676620529
35,192.0,108.0,165.66754913180986,199.33603518208298,95.05613757937121
36,192.0,108.0,182.3214399526761,191.45702577933386,84.01636552792587
37,192.0,108.0,199.43600469787455,183.92286460639232,76.28614248936299
38,192.0,108.0,216.05696224690686,180.95887642530437,76.82275106888542
39,192.0,108.0,228.79425322512867,179.38503955117415,80.30965659319924
40,192.0,108.0,238.09947258401724,178.5628584294023,84.28688131763109
41,192.0,108.0,247.42112900713659,177.97620980604538,89.26461493360826
42,192.0,108.0,256.41512680811337,178.57319837166924,95.55043113514613
43,192.0,108.0,261.9353890024057,177.4565979331079,98.56560064930979
44,192.0,108.0,263.83349878536825,175.61597581188582,98.65075637186483
45,192.0,108.0,267.4657562311741,176.22779043764217,101.73549897428042
46,192.0,108.0,272.15506648732855,178.16841607376927,106.52906316066833
47,192.0,108.0,279.66353646888535,174.69087524417955,110.14793900507769
48,192.0,108.0,287.8646322738162,165.990341268471,112.03975812820971
49,192.0,108.0,299.2123799560901,157.14416124049848,117.93914956400671
50,192.0,108.0,307.91889440809246,145.95923152258638,121.97578996907461
51,192.0,108.0,318.3117911837186,138.0238912737158,129.83105421760712
52,192.0,108.0,328.8893063714396,132.8931565248494,139.13429282755746
53,192.0,108.0,337.0856639871777,125.11003777744847,146.09107873975725
54,192.0,108.0,342.4715388525839,116.36446583739821,150.70384299482765
55,192.0,108.0,346.5292220014648,108.37455485513087,154.5296759322218
56,192.0,108.0,349.7577070779471,103.4218782890811,157.82412154322716
57,192.0,108.0,350.40719457709594,102.5151933617875,158.5021211140233
58,192.0,108.0,348.7417983682819,101.09012680023588,156.8940333580597
59,192.0,108.0,341.13215703360993,110.18524084424465,149.14816639518116
60,192.0,108.0,330.925596083249,129.18359855369948,140.53137050057666
61,192.0,108.0,318.56695494283633,152.05172248590662,134.0139856040305
62,192.0,108.0,307.2771776561992,174.71940707599012,133.19274367979136
63,192.0,108.0,295.6512668920187,197.03874361985717,136.6436350282118
64,192.0,108.0,284.42286873155035,218.85528636550063,144.32907253823305
65,192.0,108.0,274.77965189603344,231.30182132691894,148.51198574715752
66,192.0,108.0,265.75569668567925,236.5500947010815,148.20603780294155
67,192.0,108.0,260.95867242349686,244.87687125945737,153.26635765290834
68,192.0,108.0,259.25863129282146,253.98585752701047,160.73454538860122
69,192.0,108.0,259.3919575044674,263.879126065248,169.82337259384946
70,192.0,108.0,260.7595208984727,272.40720430556,178.20662317028976
71,192.0,108.0,261.13227460549933,275.4967335406955,181.20272387282958
72,192.0,108.0,262.8256991224452,277.4759858668165,183.6801280533975
